H1,H2,H3,Syntax,Description,Doc,Method,Endpoint
Scanning Data Plane,Scan,Deletescanruleset,pvw scan deleteScanRuleset --scanRulesetName=<val>,Delete data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/deletescanruleset,DELETE,https://{accountName}.purview.azure.com/scan/api/deleteScanRuleset
Scanning Data Plane,Scan,Deletetrigger,pvw scan deleteTrigger --dataSourceName=<val> --scanName=<val>,Delete data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/deletetrigger,DELETE,https://{accountName}.purview.azure.com/scan/api/deleteTrigger
Scanning Data Plane,Scan,Putclassificationrule,pvw scan putClassificationRule --classificationRuleName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putclassificationrule,PUT,https://{accountName}.purview.azure.com/scan/api/putClassificationRule
Scanning Data Plane,Scan,Putcredential,pvw scan putCredential --credentialName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putcredential,PUT,https://{accountName}.purview.azure.com/scan/api/putCredential
Scanning Data Plane,Scan,Putdatasource,pvw scan putDataSource --dataSourceName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putdatasource,PUT,https://{accountName}.purview.azure.com/scan/api/putDataSource
Scanning Data Plane,Scan,Putfilter,pvw scan putFilter --dataSourceName=<val> --scanName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putfilter,PUT,https://{accountName}.purview.azure.com/scan/api/putFilter
Scanning Data Plane,Scan,Putkeyvault,pvw scan putKeyVault --keyVaultName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putkeyvault,PUT,https://{accountName}.purview.azure.com/scan/api/putKeyVault
Scanning Data Plane,Scan,Putscan,pvw scan putScan --dataSourceName=<val> --scanName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putscan,PUT,https://{accountName}.purview.azure.com/scan/api/putScan
Scanning Data Plane,Scan,Putscanruleset,pvw scan putScanRuleset --scanRulesetName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putscanruleset,PUT,https://{accountName}.purview.azure.com/scan/api/putScanRuleset
Scanning Data Plane,Scan,Puttrigger,pvw scan putTrigger --dataSourceName=<val> --scanName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/puttrigger,PUT,https://{accountName}.purview.azure.com/scan/api/putTrigger
Scanning Data Plane,Scan,Readclassificationrule,pvw scan readClassificationRule --classificationRuleName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readclassificationrule,GET,https://{accountName}.purview.azure.com/scan/api/readClassificationRule
Scanning Data Plane,Scan,Readclassificationrules,pvw scan readClassificationRules,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readclassificationrules,GET,https://{accountName}.purview.azure.com/scan/api/readClassificationRules
Scanning Data Plane,Scan,Readclassificationruleversions,pvw scan readClassificationRuleVersions --classificationRuleName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readclassificationruleversions,GET,https://{accountName}.purview.azure.com/scan/api/readClassificationRuleVersions
Scanning Data Plane,Scan,Readcredential,pvw scan readCredential [--credentialName=<val>],Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readcredential,GET,https://{accountName}.purview.azure.com/scan/api/readCredential
Scanning Data Plane,Scan,Readdatasource,pvw scan readDataSource --dataSourceName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readdatasource,GET,https://{accountName}.purview.azure.com/scan/api/readDataSource
Scanning Data Plane,Scan,Readdatasources,pvw scan readDataSources [--collectionName=<val>],Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readdatasources,GET,https://{accountName}.purview.azure.com/scan/api/readDataSources
Scanning Data Plane,Scan,Readfilters,pvw scan readFilters --dataSourceName=<val> --scanName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readfilters,GET,https://{accountName}.purview.azure.com/scan/api/readFilters
Scanning Data Plane,Scan,Readkeyvault,pvw scan readKeyVault --keyVaultName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readkeyvault,GET,https://{accountName}.purview.azure.com/scan/api/readKeyVault
Scanning Data Plane,Scan,Readkeyvaults,pvw scan readKeyVaults,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readkeyvaults,GET,https://{accountName}.purview.azure.com/scan/api/readKeyVaults
Scanning Data Plane,Scan,Readscan,pvw scan readScan --dataSourceName=<val> --scanName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscan,GET,https://{accountName}.purview.azure.com/scan/api/readScan
Scanning Data Plane,Scan,Readscanhistory,pvw scan readScanHistory --dataSourceName=<val> --scanName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscanhistory,GET,https://{accountName}.purview.azure.com/scan/api/readScanHistory
Scanning Data Plane,Scan,Readscanruleset,pvw scan readScanRuleset --scanRulesetName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscanruleset,GET,https://{accountName}.purview.azure.com/scan/api/readScanRuleset
Scanning Data Plane,Scan,Readscanrulesets,pvw scan readScanRulesets,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscanrulesets,GET,https://{accountName}.purview.azure.com/scan/api/readScanRulesets
Scanning Data Plane,Scan,Readscans,pvw scan readScans --dataSourceName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscans,GET,https://{accountName}.purview.azure.com/scan/api/readScans
Scanning Data Plane,Scan,Readsystemscanruleset,pvw scan readSystemScanRuleset --dataSourceType=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanruleset,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRuleset
